"healthy","age","anylim","male","insured","deg_nd","deg_ged","deg_hs","deg_ba","deg_ma","deg_phd","deg_oth","married","selfemp","familysz","reg_ne","reg_mw","reg_so","reg_we","race_bl","race_ot","race_wht","agebar"
1,37,0,1,0,1,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,1,-3
1,27,0,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,-13
1,37,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,-3
1,26,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,-14
1,28,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,-12
1,47,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,1,0,0,7
1,46,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,6
1,33,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,-7
1,36,0,1,1,0,0,0,1,0,0,0,1,1,4,0,1,0,0,0,0,1,-4
1,25,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,-15
0,46,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,1,6
1,46,0,0,1,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,6
1,41,0,1,1,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,1
1,57,0,1,1,0,0,1,0,0,0,0,1,0,5,0,0,1,0,1,0,0,17
1,44,0,1,1,0,0,1,0,0,0,0,1,0,8,1,0,0,0,0,0,1,4
1,30,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-10
1,34,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-6
1,21,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-19
1,54,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,14
1,38,0,1,1,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,1,0,-2
1,44,1,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,4
1,25,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,-15
1,21,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,-19
1,25,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,1,0,-15
1,47,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,7
1,47,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,7
1,47,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,7
1,36,0,1,1,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,0,1,-4
1,31,0,1,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,1,-9
1,44,0,1,1,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,4
1,42,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,2
1,28,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,-12
1,32,1,1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-8
1,54,0,1,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,14
1,33,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,1,0,1,0,0,-7
1,29,1,1,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,-11
1,50,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,10
1,48,0,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,8
1,31,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-9
1,32,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,-8
1,39,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1,34,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0,1,0,0,-6
1,28,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,1,-12
1,47,0,0,1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,7
0,23,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,-17
1,46,0,1,1,0,0,1,0,0,0,0,1,0,4,0,0,0,1,0,1,0,6
1,27,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,1,-13
1,53,0,0,1,1,0,0,0,0,0,0,1,1,7,0,0,1,0,0,0,1,13
1,37,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,-3
1,49,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9
1,60,0,1,1,0,0,0,1,0,0,0,1,1,3,0,0,0,1,0,0,1,20
1,45,0,1,1,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,1,5
1,36,0,1,1,0,0,1,0,0,0,0,1,0,10,0,1,0,0,0,0,1,-4
1,30,0,1,1,0,0,1,0,0,0,0,1,0,7,0,0,1,0,1,0,0,-10
1,40,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0
1,35,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,1,0,0,-5
1,33,0,1,1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,-7
1,21,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,-19
0,42,0,1,1,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,2
0,60,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,20
1,24,0,1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-16
1,24,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,-16
1,20,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-20
1,32,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,-8
1,54,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,14
1,38,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,-2
1,23,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,1,-17
1,40,0,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0
1,56,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,16
1,38,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,-2
1,34,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,-6
1,24,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,-16
1,21,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-19
1,44,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4
1,42,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,1,2
1,38,0,0,1,0,0,1,0,0,0,0,1,1,4,1,0,0,0,0,0,1,-2
1,26,0,0,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0,0,-14
1,62,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,22
0,40,1,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0
1,51,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,11
1,37,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,-3
1,54,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,14
1,25,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,-15
0,30,1,1,1,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,-10
1,30,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,0,0,1,-10
1,42,1,1,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,1,2
1,54,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,14
1,21,0,1,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,1,-19
1,28,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,-12
1,41,0,1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,1
1,32,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-8
0,58,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,18
1,60,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,20
1,57,0,1,1,0,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,1,17
1,52,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,1,12
1,42,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,2
1,44,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,4
1,31,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,1,-9
1,44,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,1,4
1,28,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,-12
1,20,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,-20
1,54,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,14
1,43,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,3
1,53,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,13
0,23,0,1,1,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-17
1,52,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,12
1,50,0,0,1,0,0,1,0,0,0,0,1,1,3,0,1,0,0,0,0,1,10
1,30,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-10
1,49,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,9
1,35,0,0,1,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,1,-5
1,29,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-11
1,43,1,1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,3
1,39,0,1,1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,-1
1,38,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,1,-2
0,40,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0
1,33,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-7
1,53,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,13
0,54,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,14
1,32,0,1,1,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-8
1,39,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,-1
1,29,0,1,1,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,-11
1,54,1,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,14
1,46,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6
1,42,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,2
1,27,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,-13
1,20,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-20
1,45,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,5
1,43,1,0,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,1,3
1,42,0,1,1,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,2
1,51,0,1,1,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,1,11
1,54,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,14
1,38,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,-2
1,30,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,-10
0,29,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,-11
1,43,1,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,3
1,24,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,-16
1,26,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-14
1,43,0,0,1,1,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,1,3
0,51,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,11
1,58,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,18
1,57,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,17
1,22,0,1,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,-18
1,18,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,-22
1,37,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,1,-3
1,34,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,-6
1,43,1,1,1,0,0,1,0,0,0,0,1,0,8,0,0,1,0,1,0,0,3
1,29,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,1,-11
1,23,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,-17
1,49,0,1,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0,0,9
1,38,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,-2
1,19,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-21
1,25,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-15
1,38,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-2
1,20,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,-20
1,34,0,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,1,-6
1,42,0,1,1,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,2
1,55,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,15
1,26,0,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-14
1,54,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14
1,50,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,10
1,58,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,18
1,40,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0
1,20,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,-20
1,56,1,1,1,0,0,0,1,0,0,0,1,1,5,0,0,1,0,0,0,1,16
1,49,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,1,9
1,44,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,1,4
1,47,0,0,1,0,0,1,0,0,0,0,1,0,5,1,0,0,0,1,0,0,7
1,41,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1
1,48,0,1,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,1,8
1,35,0,1,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,-5
1,39,0,0,1,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,-1
1,26,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-14
1,23,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-17
1,35,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,-5
1,62,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,22
1,38,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-2
1,53,1,1,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,13
1,34,1,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,-6
1,43,0,1,0,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,0,1,3
1,19,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,-21
1,23,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-17
0,59,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,19
1,26,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,-14
0,35,0,0,1,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,-5
1,27,1,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-13
1,41,1,1,1,0,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,1,1
1,28,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,-12
1,61,0,1,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1,21
1,41,0,0,1,0,0,1,0,0,0,0,1,1,5,1,0,0,0,0,0,1,1
1,34,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-6
1,45,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,5
1,43,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,3
0,34,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-6
1,32,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,-8
1,27,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,-13
0,32,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-8
1,32,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,-8
1,48,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8
1,28,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,-12
1,20,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,-20
0,35,0,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,-5
1,31,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-9
1,25,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,-15
1,20,1,1,1,0,0,1,0,0,0,0,0,0,6,0,0,1,0,1,0,0,-20
1,32,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-8
1,26,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,-14
1,23,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-17
1,47,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,1,7
1,18,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,-22
1,34,1,1,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,1,-6
1,47,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,7
1,27,0,1,1,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,-13
1,30,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,-10
1,31,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,-9
1,47,0,1,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,1,7
1,45,0,1,1,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,5
1,27,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-13
0,35,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-5
1,30,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,-10
1,45,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5
1,44,0,1,1,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,1,4
1,54,0,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,14
0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-16
1,23,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-17
1,41,0,1,1,1,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,1,1
1,48,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,8
1,41,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,1,0,1
1,31,0,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,-9
1,43,0,1,1,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,3
1,34,0,1,1,0,0,1,0,0,0,0,1,1,4,0,0,0,1,0,0,1,-6
1,38,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1,-2
1,44,0,0,1,1,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,1,4
1,19,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,-21
1,59,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1,19
1,30,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,1,-10
1,35,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,-5
1,20,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,1,-20
1,26,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-14
1,46,0,1,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,1,6
1,29,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,-11
1,44,0,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,1,4
1,23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-17
1,40,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0
1,34,0,0,1,0,0,0,1,0,0,0,1,1,4,1,0,0,0,0,1,0,-6
1,60,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,20
1,44,0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,0,1,4
1,45,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,5
1,30,0,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,1,-10
1,25,0,1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-15
1,39,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,-1
1,31,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,-9
1,30,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,-10
1,22,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,-18
1,36,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,-4
1,23,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,-17
