"wage","gender","age","ageclass","ageclass2","emptype","hours","macroarea","region","citizenship","education"
1500,"Male",60,"60-64","55-64","Male",40,"center","Lazio","italian","high school"
1400,"Female",30,"30-34","25-34","Female",40,"nord","Trentino alto Adige","italian","high school"
1150,"Male",50,"50-54","45-54","Male",40,"nord","Piemonte","italian","high school"
1450,"Male",54,"50-54","45-54","Male",40,"center","Toscana","italian","middle school"
1200,"Female",61,"60-64","55-64","Female",40,"nord","Emilia Romagna","non-ue","professional high school"
1620,"Male",59,"55-59","55-64","Male",36,"south","Sicilia","italian","college or more"
1760,"Male",49,"45-49","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","professional high school"
2000,"Male",40,"40-44","35-44","Male",42,"nord","Emilia Romagna","italian","middle school"
2500,"Male",49,"45-49","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
1250,"Male",49,"45-49","45-54","Male",40,"center","Lazio","italian","college or more"
1100,"Female",35,"35-39","35-44","Female",42,"south","Campania","italian","college or more"
1300,"Male",43,"40-44","35-44","Male",40,"nord","Emilia Romagna","italian","high school"
1400,"Female",62,"60-64","55-64","Female",40,"south","Sicilia","italian","high school"
500,"Male",61,"60-64","55-64","Male",25,"nord","Piemonte","italian","professional high school"
560,"Female",21,"20-24","15-24","Female",42,"center","Lazio","italian","middle school"
1110,"Male",62,"60-64","55-64","Male",38,"nord","Liguria","italian","middle school"
1300,"Female",46,"45-49","45-54","Female",36,"south","Sardegna","italian","high school"
250,"Female",53,"50-54","45-54","Female",12,"center","Marche","non-ue","no schooling"
1000,"Female",26,"25-29","25-34","Female",30,"center","Marche","italian","high school"
1600,"Male",62,"60-64","55-64","Male",42,"nord","Piemonte","italian","high school"
1600,"Male",49,"45-49","45-54","Male",40,"nord","Emilia Romagna","italian","middle school"
1300,"Male",48,"45-49","45-54","Male",40,"center","Lazio","italian","middle school"
1870,"Male",34,"30-34","25-34","Male",50,"south","Puglia","italian","high school"
1500,"Male",40,"40-44","35-44","Male",40,"nord","Piemonte","italian","middle school"
1900,"Male",44,"40-44","35-44","Male",40,"nord","Liguria","italian","high school"
1560,"Female",63,"60-64","55-64","Female",40,"south","Campania","italian","college or more"
2000,"Female",49,"45-49","45-54","Female",40,"nord","Emilia Romagna","italian","high school"
500,"Female",50,"50-54","45-54","Female",20,"center","Lazio","ue","professional high school"
950,"Female",50,"50-54","45-54","Female",18,"nord","Lombardia","italian","high school"
250,"Female",54,"50-54","45-54","Female",16,"south","Campania","italian","middle school"
1600,"Male",36,"35-39","35-44","Male",40,"nord","Valle d'Aosta","italian","high school"
1380,"Female",40,"40-44","35-44","Female",24,"nord","Piemonte","italian","college or more"
1300,"Male",26,"25-29","25-34","Male",40,"center","Umbria","italian","elementary school"
650,"Male",18,"15-19","15-24","Male",25,"nord","Lombardia","italian","middle school"
1400,"Male",22,"20-24","15-24","Male",40,"south","Abruzzo","italian","middle school"
510,"Female",56,"55-59","55-64","Female",20,"nord","Friuli Venezia Giulia","italian","middle school"
1400,"Male",51,"50-54","45-54","Male",40,"nord","Liguria","non-ue","elementary school"
1600,"Male",32,"30-34","25-34","Male",36,"nord","Piemonte","italian","college or more"
350,"Female",31,"30-34","25-34","Female",15,"south","Basilicata","italian","middle school"
1600,"Male",48,"45-49","45-54","Male",40,"nord","Lombardia","non-ue","middle school"
1100,"Male",49,"45-49","45-54","Male",40,"nord","Trentino alto Adige","italian","middle school"
1000,"Male",47,"45-49","45-54","Male",40,"nord","Lombardia","italian","middle school"
1400,"Male",40,"40-44","35-44","Male",40,"south","Puglia","italian","middle school"
1270,"Male",51,"50-54","45-54","Male",40,"nord","Veneto","italian","middle school"
970,"Female",35,"35-39","35-44","Female",15,"nord","Trentino alto Adige","italian","high school"
1300,"Male",47,"45-49","45-54","Male",38,"center","Lazio","ue","high school"
1630,"Male",52,"50-54","45-54","Male",25,"center","Toscana","italian","high school"
2200,"Female",41,"40-44","35-44","Female",40,"south","Sicilia","italian","college or more"
1920,"Male",47,"45-49","45-54","Male",40,"south","Sardegna","italian","middle school"
1000,"Female",40,"40-44","35-44","Female",35,"nord","Piemonte","italian","college or more"
1360,"Female",46,"45-49","45-54","Female",36,"nord","Emilia Romagna","italian","middle school"
1800,"Male",38,"35-39","35-44","Male",50,"south","Basilicata","italian","high school"
1770,"Male",46,"45-49","45-54","Male",36,"center","Toscana","italian","high school"
1300,"Male",40,"40-44","35-44","Male",40,"nord","Piemonte","italian","college or more"
2410,"Male",57,"55-59","55-64","Male",40,"south","Basilicata","italian","high school"
1200,"Male",48,"45-49","45-54","Male",40,"center","Toscana","italian","middle school"
730,"Female",23,"20-24","15-24","Female",40,"nord","Veneto","italian","high school"
700,"Male",60,"60-64","55-64","Male",30,"south","Sicilia","italian","middle school"
1980,"Male",51,"50-54","45-54","Male",40,"center","Lazio","italian","high school"
1290,"Male",47,"45-49","45-54","Male",40,"nord","Liguria","italian","middle school"
1550,"Male",38,"35-39","35-44","Male",36,"nord","Valle d'Aosta","italian","college or more"
1350,"Male",43,"40-44","35-44","Male",42,"nord","Piemonte","italian","middle school"
1800,"Male",50,"50-54","45-54","Male",40,"center","Marche","italian","high school"
2280,"Male",63,"60-64","55-64","Male",36,"center","Umbria","italian","college or more"
250,"Male",42,"40-44","35-44","Male",20,"nord","Friuli Venezia Giulia","italian","middle school"
900,"Female",58,"55-59","55-64","Female",40,"nord","Piemonte","ue","professional high school"
1380,"Female",62,"60-64","55-64","Female",30,"south","Molise","italian","high school"
1670,"Male",50,"50-54","45-54","Male",36,"center","Marche","italian","college or more"
1500,"Male",38,"35-39","35-44","Male",40,"nord","Veneto","italian","college or more"
1500,"Male",33,"30-34","25-34","Male",40,"nord","Emilia Romagna","italian","high school"
1970,"Female",38,"35-39","35-44","Female",37,"south","Sardegna","italian","college or more"
2360,"Male",64,"60-64","55-64","Male",36,"nord","Liguria","italian","high school"
1400,"Female",51,"50-54","45-54","Female",18,"south","Sicilia","italian","college or more"
1170,"Male",31,"30-34","25-34","Male",40,"south","Sardegna","italian","middle school"
1020,"Male",45,"45-49","45-54","Male",44,"nord","Valle d'Aosta","italian","professional high school"
2000,"Male",32,"30-34","25-34","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1800,"Male",55,"55-59","55-64","Male",50,"nord","Emilia Romagna","italian","middle school"
1030,"Male",33,"30-34","25-34","Male",40,"center","Toscana","italian","middle school"
2000,"Male",45,"45-49","45-54","Male",40,"center","Lazio","italian","college or more"
1000,"Female",44,"40-44","35-44","Female",38,"south","Puglia","italian","high school"
1400,"Male",38,"35-39","35-44","Male",40,"nord","Trentino alto Adige","ue","professional high school"
1300,"Female",53,"50-54","45-54","Female",36,"south","Sicilia","italian","middle school"
1300,"Male",25,"25-29","25-34","Male",40,"nord","Emilia Romagna","non-ue","professional high school"
1090,"Male",22,"20-24","15-24","Male",40,"nord","Veneto","italian","high school"
980,"Male",47,"45-49","45-54","Male",40,"center","Toscana","italian","college or more"
1700,"Female",33,"30-34","25-34","Female",40,"nord","Emilia Romagna","italian","college or more"
1400,"Male",36,"35-39","35-44","Male",30,"nord","Emilia Romagna","italian","high school"
1100,"Male",62,"60-64","55-64","Male",36,"south","Sicilia","italian","high school"
1630,"Male",34,"30-34","25-34","Male",40,"nord","Lombardia","italian","college or more"
1240,"Female",45,"45-49","45-54","Female",30,"center","Toscana","italian","college or more"
1100,"Female",30,"30-34","25-34","Female",30,"nord","Friuli Venezia Giulia","italian","high school"
590,"Male",24,"20-24","15-24","Male",40,"nord","Piemonte","italian","middle school"
2400,"Male",55,"55-59","55-64","Male",36,"nord","Valle d'Aosta","italian","college or more"
1400,"Female",34,"30-34","25-34","Female",30,"center","Toscana","italian","college or more"
1520,"Female",41,"40-44","35-44","Female",50,"nord","Lombardia","ue","high school"
900,"Female",31,"30-34","25-34","Female",25,"nord","Lombardia","italian","middle school"
660,"Male",27,"25-29","25-34","Male",30,"south","Puglia","italian","high school"
1600,"Male",39,"35-39","35-44","Male",40,"south","Puglia","italian","high school"
1360,"Male",45,"45-49","45-54","Male",40,"center","Marche","italian","high school"
1720,"Male",43,"40-44","35-44","Male",40,"center","Marche","italian","middle school"
1200,"Female",64,"60-64","55-64","Female",36,"nord","Trentino alto Adige","italian","professional high school"
1800,"Female",39,"35-39","35-44","Female",27,"nord","Valle d'Aosta","italian","high school"
1700,"Male",54,"50-54","45-54","Male",40,"nord","Emilia Romagna","italian","college or more"
1300,"Male",44,"40-44","35-44","Male",40,"nord","Lombardia","italian","high school"
740,"Female",75,"75 e +","75 e +","Female",20,"nord","Piemonte","italian","elementary school"
1300,"Female",51,"50-54","45-54","Female",27,"nord","Veneto","italian","professional high school"
670,"Female",51,"50-54","45-54","Female",20,"center","Toscana","italian","high school"
1400,"Male",39,"35-39","35-44","Male",48,"center","Umbria","italian","professional high school"
450,"Male",47,"45-49","45-54","Male",24,"nord","Trentino alto Adige","italian","middle school"
1800,"Male",48,"45-49","45-54","Male",36,"south","Puglia","italian","high school"
1800,"Male",51,"50-54","45-54","Male",40,"nord","Friuli Venezia Giulia","ue","college or more"
1600,"Male",39,"35-39","35-44","Male",43,"nord","Lombardia","italian","middle school"
1200,"Male",50,"50-54","45-54","Male",40,"nord","Emilia Romagna","non-ue","middle school"
1450,"Male",53,"50-54","45-54","Male",40,"nord","Valle d'Aosta","ue","high school"
1200,"Female",37,"35-39","35-44","Female",40,"south","Molise","italian","high school"
1800,"Male",49,"45-49","45-54","Male",40,"nord","Emilia Romagna","italian","professional high school"
800,"Female",25,"25-29","25-34","Female",32,"center","Marche","italian","college or more"
1050,"Female",61,"60-64","55-64","Female",27,"center","Toscana","italian","elementary school"
1500,"Male",75,"75 e +","75 e +","Male",40,"nord","Piemonte","italian","middle school"
3000,"Male",58,"55-59","55-64","Male",40,"nord","Liguria","italian","high school"
1550,"Male",35,"35-39","35-44","Male",18,"nord","Trentino alto Adige","italian","college or more"
1570,"Male",35,"35-39","35-44","Male",36,"center","Toscana","italian","high school"
1130,"Male",56,"55-59","55-64","Male",45,"nord","Lombardia","italian","middle school"
1700,"Male",52,"50-54","45-54","Male",40,"nord","Lombardia","italian","professional high school"
3000,"Male",33,"30-34","25-34","Male",50,"nord","Emilia Romagna","italian","college or more"
1310,"Female",56,"55-59","55-64","Female",35,"nord","Liguria","italian","middle school"
1900,"Female",60,"60-64","55-64","Female",36,"south","Puglia","italian","high school"
1150,"Male",28,"25-29","25-34","Male",42,"center","Toscana","italian","high school"
1300,"Male",47,"45-49","45-54","Male",50,"center","Lazio","ue","high school"
1400,"Male",37,"35-39","35-44","Male",40,"south","Abruzzo","italian","high school"
700,"Male",25,"25-29","25-34","Male",20,"nord","Liguria","italian","professional high school"
1000,"Male",44,"40-44","35-44","Male",40,"south","Basilicata","italian","middle school"
890,"Female",29,"25-29","25-34","Female",20,"south","Abruzzo","italian","college or more"
1790,"Male",65,"65-69","65-74","Male",40,"center","Umbria","italian","college or more"
590,"Male",34,"30-34","25-34","Male",20,"center","Marche","italian","middle school"
2000,"Male",48,"45-49","45-54","Male",40,"nord","Veneto","italian","high school"
1500,"Male",45,"45-49","45-54","Male",36,"center","Lazio","italian","college or more"
1800,"Male",57,"55-59","55-64","Male",40,"center","Lazio","italian","middle school"
2000,"Male",50,"50-54","45-54","Male",40,"center","Umbria","italian","middle school"
1800,"Male",58,"55-59","55-64","Male",36,"center","Umbria","italian","high school"
1500,"Male",46,"45-49","45-54","Male",37,"center","Toscana","italian","high school"
2000,"Male",61,"60-64","55-64","Male",40,"nord","Emilia Romagna","italian","high school"
900,"Female",56,"55-59","55-64","Female",30,"nord","Emilia Romagna","ue","high school"
1720,"Female",30,"30-34","25-34","Female",40,"nord","Lombardia","italian","high school"
1920,"Male",53,"50-54","45-54","Male",39,"center","Marche","italian","high school"
1200,"Female",55,"55-59","55-64","Female",36,"nord","Liguria","italian","middle school"
1500,"Male",49,"45-49","45-54","Male",40,"center","Marche","italian","middle school"
2300,"Male",40,"40-44","35-44","Male",45,"center","Toscana","italian","college or more"
2300,"Female",38,"35-39","35-44","Female",48,"nord","Emilia Romagna","italian","college or more"
1390,"Female",51,"50-54","45-54","Female",30,"center","Umbria","italian","middle school"
1600,"Female",43,"40-44","35-44","Female",18,"south","Molise","italian","college or more"
1300,"Male",44,"40-44","35-44","Male",40,"nord","Emilia Romagna","ue","high school"
1330,"Male",37,"35-39","35-44","Male",40,"nord","Liguria","italian","high school"
800,"Female",56,"55-59","55-64","Female",24,"center","Lazio","italian","high school"
1670,"Male",43,"40-44","35-44","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1500,"Female",44,"40-44","35-44","Female",48,"nord","Trentino alto Adige","non-ue","middle school"
950,"Female",56,"55-59","55-64","Female",20,"nord","Piemonte","italian","middle school"
1040,"Female",50,"50-54","45-54","Female",19,"nord","Trentino alto Adige","italian","high school"
450,"Female",41,"40-44","35-44","Female",18,"nord","Lombardia","non-ue","college or more"
1280,"Female",49,"45-49","45-54","Female",40,"center","Umbria","italian","high school"
1600,"Male",36,"35-39","35-44","Male",40,"center","Umbria","non-ue","professional high school"
650,"Female",65,"65-69","65-74","Female",54,"south","Campania","ue","high school"
780,"Female",40,"40-44","35-44","Female",40,"nord","Lombardia","italian","middle school"
1500,"Female",42,"40-44","35-44","Female",40,"nord","Lombardia","italian","high school"
1370,"Female",44,"40-44","35-44","Female",40,"nord","Emilia Romagna","italian","middle school"
1270,"Male",50,"50-54","45-54","Male",40,"nord","Lombardia","italian","high school"
800,"Female",47,"45-49","45-54","Female",18,"south","Sardegna","italian","high school"
1790,"Female",52,"50-54","45-54","Female",24,"nord","Lombardia","italian","college or more"
1330,"Female",50,"50-54","45-54","Female",40,"center","Toscana","italian","high school"
1300,"Male",44,"40-44","35-44","Male",40,"nord","Lombardia","italian","elementary school"
2370,"Male",69,"65-69","65-74","Male",36,"center","Umbria","italian","college or more"
1500,"Male",35,"35-39","35-44","Male",50,"nord","Lombardia","italian","professional high school"
2500,"Male",45,"45-49","45-54","Male",40,"center","Toscana","italian","high school"
1840,"Male",42,"40-44","35-44","Male",40,"center","Marche","italian","high school"
1400,"Male",30,"30-34","25-34","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1200,"Male",54,"50-54","45-54","Male",40,"nord","Veneto","ue","professional high school"
1450,"Male",34,"30-34","25-34","Male",40,"nord","Emilia Romagna","italian","college or more"
1650,"Male",49,"45-49","45-54","Male",40,"south","Calabria","italian","high school"
1400,"Male",38,"35-39","35-44","Male",38,"nord","Piemonte","ue","high school"
1140,"Female",29,"25-29","25-34","Female",40,"nord","Lombardia","italian","high school"
1500,"Male",59,"55-59","55-64","Male",40,"south","Sicilia","italian","middle school"
700,"Female",41,"40-44","35-44","Female",24,"south","Campania","italian","high school"
1360,"Male",60,"60-64","55-64","Male",40,"nord","Lombardia","italian","high school"
1090,"Female",24,"20-24","15-24","Female",36,"center","Toscana","italian","high school"
1000,"Female",65,"65-69","65-74","Female",40,"nord","Veneto","italian","middle school"
1080,"Female",52,"50-54","45-54","Female",18,"nord","Trentino alto Adige","italian","high school"
1280,"Male",30,"30-34","25-34","Male",40,"nord","Lombardia","italian","professional high school"
3000,"Female",64,"60-64","55-64","Female",38,"nord","Friuli Venezia Giulia","italian","college or more"
500,"Female",36,"35-39","35-44","Female",15,"nord","Lombardia","italian","middle school"
800,"Female",57,"55-59","55-64","Female",40,"south","Puglia","italian","middle school"
1350,"Male",58,"55-59","55-64","Male",40,"nord","Liguria","italian","elementary school"
950,"Female",55,"55-59","55-64","Female",35,"nord","Friuli Venezia Giulia","italian","middle school"
1200,"Male",39,"35-39","35-44","Male",40,"south","Abruzzo","italian","college or more"
2160,"Male",44,"40-44","35-44","Male",38,"south","Puglia","italian","college or more"
970,"Male",53,"50-54","45-54","Male",40,"south","Calabria","italian","middle school"
1980,"Male",51,"50-54","45-54","Male",36,"south","Puglia","italian","college or more"
1750,"Female",47,"45-49","45-54","Female",36,"nord","Piemonte","italian","college or more"
1200,"Female",61,"60-64","55-64","Female",36,"nord","Piemonte","italian","middle school"
1300,"Male",32,"30-34","25-34","Male",40,"center","Umbria","italian","professional high school"
1360,"Male",43,"40-44","35-44","Male",38,"nord","Veneto","italian","high school"
1100,"Male",54,"50-54","45-54","Male",33,"south","Puglia","italian","middle school"
1450,"Male",25,"25-29","25-34","Male",40,"nord","Trentino alto Adige","italian","high school"
260,"Female",43,"40-44","35-44","Female",8,"nord","Valle d'Aosta","italian","high school"
550,"Female",63,"60-64","55-64","Female",15,"nord","Friuli Venezia Giulia","italian","middle school"
1500,"Female",32,"30-34","25-34","Female",38,"nord","Valle d'Aosta","italian","college or more"
1500,"Male",52,"50-54","45-54","Male",40,"center","Lazio","italian","high school"
400,"Female",55,"55-59","55-64","Female",20,"south","Sardegna","italian","middle school"
1000,"Female",42,"40-44","35-44","Female",40,"nord","Trentino alto Adige","ue","high school"
1200,"Male",36,"35-39","35-44","Male",40,"nord","Lombardia","non-ue","middle school"
1670,"Female",50,"50-54","45-54","Female",38,"nord","Trentino alto Adige","italian","high school"
1300,"Female",46,"45-49","45-54","Female",40,"nord","Veneto","italian","high school"
1600,"Male",49,"45-49","45-54","Male",40,"south","Basilicata","italian","high school"
1600,"Female",54,"50-54","45-54","Female",18,"nord","Lombardia","italian","college or more"
1310,"Female",56,"55-59","55-64","Female",40,"south","Sardegna","italian","high school"
1450,"Male",45,"45-49","45-54","Male",37,"nord","Emilia Romagna","italian","college or more"
1600,"Female",42,"40-44","35-44","Female",38,"south","Sardegna","italian","college or more"
1150,"Male",51,"50-54","45-54","Male",40,"south","Basilicata","italian","middle school"
1170,"Female",46,"45-49","45-54","Female",40,"nord","Trentino alto Adige","italian","professional high school"
900,"Female",52,"50-54","45-54","Female",18,"nord","Lombardia","italian","high school"
1400,"Female",23,"20-24","15-24","Female",40,"center","Toscana","italian","high school"
750,"Female",49,"45-49","45-54","Female",40,"nord","Piemonte","italian","middle school"
1300,"Male",50,"50-54","45-54","Male",36,"center","Lazio","italian","college or more"
290,"Male",55,"55-59","55-64","Male",40,"nord","Piemonte","non-ue","middle school"
1200,"Female",51,"50-54","45-54","Female",40,"nord","Veneto","italian","middle school"
1200,"Male",40,"40-44","35-44","Male",40,"nord","Piemonte","italian","middle school"
1790,"Male",38,"35-39","35-44","Male",40,"nord","Lombardia","italian","college or more"
600,"Female",55,"55-59","55-64","Female",30,"south","Calabria","non-ue","elementary school"
2600,"Male",57,"55-59","55-64","Male",40,"nord","Veneto","italian","college or more"
1340,"Female",42,"40-44","35-44","Female",40,"nord","Lombardia","italian","college or more"
1400,"Male",59,"55-59","55-64","Male",40,"nord","Valle d'Aosta","ue","high school"
1200,"Female",50,"50-54","45-54","Female",30,"nord","Trentino alto Adige","italian","middle school"
2000,"Male",38,"35-39","35-44","Male",40,"south","Sardegna","italian","high school"
1200,"Male",34,"30-34","25-34","Male",39,"nord","Emilia Romagna","non-ue","high school"
1380,"Female",51,"50-54","45-54","Female",36,"center","Umbria","italian","college or more"
600,"Female",48,"45-49","45-54","Female",20,"nord","Lombardia","italian","middle school"
1250,"Female",34,"30-34","25-34","Female",40,"nord","Lombardia","italian","high school"
2040,"Female",61,"60-64","55-64","Female",40,"center","Lazio","italian","high school"
900,"Female",41,"40-44","35-44","Female",20,"south","Sicilia","italian","high school"
1800,"Male",49,"45-49","45-54","Male",36,"south","Sicilia","italian","high school"
900,"Male",61,"60-64","55-64","Male",35,"nord","Piemonte","italian","middle school"
800,"Male",21,"20-24","15-24","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
1400,"Male",55,"55-59","55-64","Male",36,"nord","Piemonte","italian","high school"
1460,"Male",42,"40-44","35-44","Male",36,"nord","Lombardia","italian","middle school"
830,"Female",43,"40-44","35-44","Female",40,"nord","Lombardia","italian","middle school"
1100,"Male",60,"60-64","55-64","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1330,"Female",59,"55-59","55-64","Female",36,"nord","Trentino alto Adige","italian","professional high school"
700,"Female",40,"40-44","35-44","Female",25,"nord","Lombardia","italian","high school"
1200,"Male",66,"65-69","65-74","Male",48,"center","Lazio","italian","middle school"
1330,"Male",27,"25-29","25-34","Male",40,"nord","Lombardia","italian","college or more"
1520,"Male",37,"35-39","35-44","Male",40,"nord","Trentino alto Adige","italian","college or more"
1100,"Male",26,"25-29","25-34","Male",30,"south","Sardegna","italian","high school"
1300,"Male",48,"45-49","45-54","Male",40,"center","Marche","italian","college or more"
1380,"Male",33,"30-34","25-34","Male",36,"nord","Liguria","italian","high school"
800,"Male",54,"50-54","45-54","Male",40,"center","Toscana","italian","middle school"
1100,"Male",63,"60-64","55-64","Male",40,"south","Sardegna","italian","middle school"
1200,"Female",38,"35-39","35-44","Female",40,"south","Sicilia","italian","college or more"
970,"Male",31,"30-34","25-34","Male",40,"south","Sicilia","italian","middle school"
1280,"Male",42,"40-44","35-44","Male",40,"nord","Lombardia","italian","high school"
2830,"Male",62,"60-64","55-64","Male",50,"nord","Lombardia","italian","high school"
1600,"Female",57,"55-59","55-64","Female",38,"nord","Lombardia","italian","professional high school"
800,"Male",27,"25-29","25-34","Male",50,"nord","Emilia Romagna","italian","middle school"
2050,"Male",52,"50-54","45-54","Male",50,"nord","Veneto","italian","middle school"
1100,"Female",55,"55-59","55-64","Female",22,"nord","Trentino alto Adige","italian","professional high school"
3000,"Male",63,"60-64","55-64","Male",40,"center","Lazio","italian","college or more"
1700,"Male",46,"45-49","45-54","Male",40,"nord","Emilia Romagna","italian","high school"
1000,"Female",46,"45-49","45-54","Female",35,"south","Sicilia","italian","college or more"
1570,"Male",50,"50-54","45-54","Male",40,"nord","Liguria","italian","high school"
1290,"Male",36,"35-39","35-44","Male",40,"south","Sardegna","italian","professional high school"
1600,"Male",52,"50-54","45-54","Male",40,"center","Marche","italian","high school"
3000,"Male",64,"60-64","55-64","Male",40,"center","Lazio","italian","college or more"
1500,"Female",64,"60-64","55-64","Female",36,"center","Toscana","italian","high school"
1400,"Female",38,"35-39","35-44","Female",20,"nord","Veneto","italian","professional high school"
1840,"Male",39,"35-39","35-44","Male",40,"nord","Veneto","italian","high school"
1400,"Male",45,"45-49","45-54","Male",40,"center","Lazio","italian","middle school"
800,"Female",50,"50-54","45-54","Female",24,"nord","Lombardia","italian","professional high school"
1200,"Female",45,"45-49","45-54","Female",40,"nord","Emilia Romagna","italian","middle school"
1980,"Male",27,"25-29","25-34","Male",24,"center","Marche","italian","college or more"
1500,"Female",61,"60-64","55-64","Female",36,"center","Umbria","italian","college or more"
730,"Male",19,"15-19","15-24","Male",40,"nord","Lombardia","italian","professional high school"
1100,"Female",50,"50-54","45-54","Female",30,"nord","Veneto","italian","high school"
1400,"Female",57,"55-59","55-64","Female",40,"south","Abruzzo","italian","middle school"
1200,"Female",51,"50-54","45-54","Female",40,"nord","Piemonte","italian","middle school"
1390,"Male",40,"40-44","35-44","Male",40,"nord","Emilia Romagna","italian","high school"
1600,"Female",66,"65-69","65-74","Female",40,"nord","Veneto","non-ue","professional high school"
1680,"Male",35,"35-39","35-44","Male",40,"south","Campania","italian","college or more"
1400,"Female",46,"45-49","45-54","Female",38,"nord","Veneto","italian","college or more"
340,"Male",32,"30-34","25-34","Male",10,"center","Lazio","italian","middle school"
3000,"Male",57,"55-59","55-64","Male",40,"nord","Liguria","italian","high school"
950,"Male",24,"20-24","15-24","Male",40,"nord","Veneto","italian","middle school"
2450,"Female",55,"55-59","55-64","Female",38,"nord","Lombardia","italian","college or more"
1300,"Male",34,"30-34","25-34","Male",40,"center","Lazio","italian","high school"
1800,"Male",35,"35-39","35-44","Male",40,"nord","Lombardia","italian","high school"
600,"Female",54,"50-54","45-54","Female",25,"center","Lazio","ue","high school"
2500,"Male",44,"40-44","35-44","Male",36,"nord","Friuli Venezia Giulia","italian","college or more"
1150,"Male",54,"50-54","45-54","Male",38,"nord","Piemonte","italian","college or more"
880,"Female",59,"55-59","55-64","Female",40,"nord","Valle d'Aosta","italian","high school"
1000,"Female",48,"45-49","45-54","Female",25,"center","Lazio","non-ue","college or more"
1100,"Female",52,"50-54","45-54","Female",26,"nord","Piemonte","italian","middle school"
